,Transaction ID,Date,Product,Source,Count of Sessions,Quantity,Product Revenue,Landing Page,Device Category
0,#11963,20191231,Accessory,knoji.com,5,1,$25.00,/cart,desktop
1,#11963,20191231,Boat A,knoji.com,5,1,"$1,599.00",/cart,desktop
2,#11960,20191230,Boat C,affirm.com,3,1,"$2,199.00",/checkout/thank_you,mobile
3,#11960,20191230,Accessory,affirm.com,3,1,$99.00,/checkout/thank_you,mobile
4,#11960,20191230,Accessory,affirm.com,3,1,$110.00,/checkout/thank_you,mobile
5,#11962,20191230,Accessory,google,2,1,$149.00,/pages/support-center,desktop
6,#11959,20191229,Accessory,google,1,1,$25.00,/products/seat-wedge,desktop
7,#11956,20191228,Accessory,(direct),1,1,$35.00,/,desktop
8,#11957,20191228,Accessory,pay.shopify.com,3,1,$99.00,/checkout/thank_you,desktop
9,#11957,20191228,Boat E,pay.shopify.com,3,1,$849.00,/checkout/thank_you,desktop
10,#11958,20191228,Boat E,affirm.com,4,1,$849.00,/checkout/thank_you,desktop
11,#11953,20191227,Boat A,pay.shopify.com,2,1,$70.00,/checkout/thank_you,mobile
12,#11955,20191227,Boat E,(direct),1,1,$179.00,/,desktop
13,#11955,20191227,Accessory,(direct),1,1,$99.00,/,desktop
14,#11955,20191227,Accessory,(direct),1,1,$110.00,/,desktop
15,#11955,20191227,Boat E,(direct),1,1,$849.00,/,desktop
16,#11952,20191226,Accessory,(direct),1,2,$36.00,/checkout/payment,desktop
17,#11952,20191226,Accessory,(direct),1,1,$149.00,/checkout/payment,desktop
18,#11948,20191223,Boat E,google,3,1,$849.00,/,desktop
19,#11950,20191223,Accessory,bing,2,1,$99.00,/products/oru-paddle?variant=6120440961,desktop
20,#11950,20191223,Accessory,bing,2,1,$15.00,/products/oru-paddle?variant=6120440961,desktop
21,#11944,20191222,Boat E,google,2,1,$849.00,/products/bay-st,mobile
22,#11945,20191222,Boat E,google,2,1,$179.00,/products/bay-st,mobile
23,#11946,20191222,Accessory,pay.shopify.com,2,1,$25.00,/checkout/thank_you,desktop
24,#11943,20191221,Accessory,pay.shopify.com,3,1,$70.00,/checkout/thank_you,desktop
25,#11940,20191220,Accessory,google,4,2,$198.00,/,desktop
26,#11940,20191220,Boat E,google,4,2,"$1,698.00",/,desktop
27,#11933,20191219,Accessory,google,1,1,$100.00,/,mobile
28,#11934,20191219,Boat B,s4.socialannex.net,1,1,"$1,299.00",/products/oru-kayak-holiday-sale-package-5?s4_reward_code=none&incentive_id=1&stat_id=49193095,desktop
29,#11935,20191219,Accessory,google,3,1,$70.00,/,mobile
30,#11936,20191219,Accessory,(direct),3,1,"$2,299.00",/checkout/contact_information,tablet
31,#11937,20191219,Accessory,pay.shopify.com,2,4,$72.00,/checkout/thank_you,desktop
32,#11937,20191219,Accessory,pay.shopify.com,2,1,$199.00,/checkout/thank_you,desktop
33,#11937,20191219,Accessory,pay.shopify.com,2,1,$99.00,/checkout/thank_you,desktop
34,#11937,20191219,Accessory,pay.shopify.com,2,1,$15.00,/checkout/thank_you,desktop
35,#11937,20191219,Boat C,pay.shopify.com,2,1,"$2,499.00",/checkout/thank_you,desktop
36,#11938,20191219,Accessory,(direct),5,1,"$1,599.00",/checkout/payment,desktop
37,#11939,20191219,Accessory,OrderlyEmails,7,1,$199.00,/checkout/shipping,desktop
38,#11922,20191218,Boat B,affirm.com,2,1,"$1,299.00",/checkout/thank_you,desktop
39,#11923,20191218,Boat A,google,1,1,"$1,599.00",/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,desktop
40,#11923,20191218,Accessory,google,1,1,$149.00,/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,desktop
41,#11923,20191218,Accessory,google,1,1,$110.00,/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,desktop
42,#11923,20191218,Accessory,google,1,1,$25.00,/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,desktop
43,#11925,20191218,Boat E,kickstarter.com,1,1,$849.00,/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,desktop
44,#11926,20191218,Accessory,google,3,1,$25.00,/products/beach-lt,desktop
45,#11928,20191218,Accessory,pay.shopify.com,9,1,$110.00,/checkout/thank_you,mobile
46,#11929,20191218,Boat B,facebook.com,6,1,"$1,299.00",/checkout/contact_information?locale=en,desktop
47,#11929,20191218,Accessory,facebook.com,6,1,$110.00,/checkout/contact_information?locale=en,desktop
48,#11930,20191218,Boat A,bing,4,1,"$1,599.00",/,desktop
49,#11931,20191218,Accessory,pay.shopify.com,6,1,$220.00,/checkout/thank_you,desktop
50,#11931,20191218,Accessory,pay.shopify.com,6,2,$36.00,/checkout/thank_you,desktop
51,#11931,20191218,Accessory,pay.shopify.com,6,1,$70.00,/checkout/thank_you,desktop
52,#11931,20191218,Boat B,pay.shopify.com,6,1,"$1,299.00",/checkout/thank_you,desktop
53,#11931,20191218,Accessory,pay.shopify.com,6,1,$25.00,/checkout/thank_you,desktop
54,#11932,20191218,Boat B,privy,2,1,"$1,299.00",/?utm_email=@@@@070AUFdRsm9noQO+Cyat/5z/I73L49JQL6aohZ6Kk5iSH6Be3PJu7D5LKjhVZHMz1owcBaF93cyLHJyfTfNMmKbmdTv05tyopa73+rU1xWOZHVGKPC5p0LsZotNlBYJpafG7ZqJ+1QdA7Yc8CMVjSeuC3qRReZzsLjPM11Y50f4/QjI=,desktop
55,#11914,20191217,Accessory,google,8,1,$99.00,/,desktop
56,#11916,20191217,Boat A,pay.shopify.com,2,1,"$1,599.00",/checkout/thank_you,desktop
57,#11917,20191217,Accessory,affirm.com,4,1,$149.00,/checkout/thank_you,desktop
58,#11917,20191217,Accessory,affirm.com,4,1,$199.00,/checkout/thank_you,desktop
59,#11917,20191217,Boat C,affirm.com,4,1,"$2,499.00",/checkout/thank_you,desktop
60,#11918,20191217,Accessory,pay.shopify.com,6,1,$25.00,/checkout/thank_you,desktop
61,#11920,20191217,Accessory,pay.shopify.com,2,1,$70.00,/checkout/thank_you,mobile
62,#11921,20191217,Boat B,google,1,1,"$1,299.00",/,desktop
63,#11901,20191216,Accessory,(direct),1,1,$18.00,/collections/accessories,desktop
64,#11901,20191216,Accessory,(direct),1,1,$99.00,/collections/accessories,desktop
65,#11902,20191216,Boat B,affirm.com,3,1,"$1,099.00",/checkout/thank_you,desktop
66,#11902,20191216,Accessory,affirm.com,3,1,$99.00,/checkout/thank_you,desktop
67,#11902,20191216,Accessory,affirm.com,3,1,$110.00,/checkout/thank_you,desktop
68,#11903,20191216,Boat B,pay.shopify.com,2,1,"$1,299.00",/checkout/thank_you,desktop
69,#11903,20191216,Accessory,pay.shopify.com,2,1,$25.00,/checkout/thank_you,desktop
70,#11904,20191216,Accessory,duckduckgo,2,2,$60.00,/collections/accessory-packages,desktop
71,#11904,20191216,Accessory,duckduckgo,2,2,$60.00,/pages/contact,desktop
72,#11905,20191216,Accessory,(direct),15,1,$99.00,/checkout/payment,desktop
73,#11905,20191216,Boat D,(direct),15,1,"$1,999.00",/checkout/payment,desktop
74,#11908,20191216,Accessory,bing,1,1,$99.00,/,desktop
75,#11908,20191216,Boat E,bing,1,1,$849.00,/,desktop
76,#11910,20191216,Boat B,(direct),1,2,"$2,598.00",/pages/oru-kayak-holiday-sale,desktop
77,#11911,20191216,Boat B,google,11,1,"$1,299.00",/checkout/payment,tablet
78,#11911,20191216,Accessory,google,11,1,$199.00,/checkout/payment,tablet
79,#11911,20191216,Accessory,google,11,1,$25.00,/checkout/payment,tablet
80,#11912,20191216,Boat E,google,2,2,"$1,698.00",/collections/kayaks,desktop
81,#11913,20191216,Boat A,Highly engaged (60 Days),10,1,"$1,599.00",/checkout/shipping?locale=en,desktop
82,#11898,20191215,Boat C,google,3,1,"$2,499.00",/,mobile
83,#11899,20191215,Boat E,(direct),1,1,$849.00,/,tablet
84,#11900,20191215,Accessory,google,2,1,$99.00,/products/bay-st,desktop
85,#11900,20191215,Boat B,google,2,1,"$1,299.00",/products/bay-st,desktop
86,#11894,20191214,Boat B,affirm.com,2,1,"$1,299.00",/checkout/thank_you,desktop
87,#11895,20191214,Accessory,(direct),1,1,$199.00,/,desktop
88,#11895,20191214,Accessory,(direct),1,1,$15.00,/,desktop
89,#11896,20191214,Accessory,Bay Area Customers,7,1,"$1,699.00",/checkout/payment?_ke=eyJrbF9lbWFpbCI6ICJkYW5pZWx2dWNAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
90,#11896,20191214,Accessory,Bay Area Customers,7,1,$90.00,/checkout/payment?_ke=eyJrbF9lbWFpbCI6ICJkYW5pZWx2dWNAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
91,#11896,20191214,Accessory,Bay Area Customers,7,1,$90.00,/checkout/payment?_ke=eyJrbF9lbWFpbCI6ICJkYW5pZWx2dWNAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
92,#11897,20191214,Accessory,Highly engaged (90 Days),1,1,$18.00,/products/oru-kayak-just-in-time-for-christmas-package?_ke=eyJrbF9lbWFpbCI6ICJjamVhbnMxQHpvb210b3duLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,tablet
93,#11886,20191213,Boat A,pay.shopify.com,3,1,"$1,599.00",/checkout/contact_information?skip_shopify_pay=true,desktop
